city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
1488903,Turukhansk,RU,65.8167,87.9833,11/13/21,            -10.69,96,100,3.05
1785738,Yuncheng,CN,35.0231,110.9928,11/13/21,            11.53,37,0,1.44
2094027,Kieta,PG,-6.2167,155.6333,11/13/21,            28.92,76,22,2.11
2291087,Bonoua,CI,5.2741,-3.595,11/13/21,            25.79,87,39,1.1
2239862,Malanje,AO,-9.5402,16.341,11/13/21,            17.2,98,98,0.2
1007311,Durban,ZA,-29.8579,31.0292,11/13/21,            21.68,88,100,0.89
2276492,Harper,LR,4.375,-7.7169,11/13/21,            25.06,85,84,0.59
3646190,Catia La Mar,VE,10.6038,-67.0303,11/13/21,            25.11,88,40,0.51
215527,Kabinda,CD,-6.1333,24.4833,11/13/21,            19.61,97,100,1.08
3860443,Comodoro Rivadavia,AR,-45.8667,-67.5,11/13/21,            15.92,29,0,12.86
5563839,Fortuna,US,40.5982,-124.1573,11/13/21,            14.55,73,90,0.45
1244926,Hambantota,LK,6.1241,81.1185,11/13/21,            28.41,71,57,7.07
3336897,La Rioja,ES,42.25,-2.5,11/13/21,            7.88,97,16,1.93
2208248,Kaitangata,NZ,-46.2817,169.8464,11/13/21,            13.29,82,100,1.86
2729907,Longyearbyen,SJ,78.2186,15.6401,11/13/21,            -12.09,61,20,5.14
1798490,Pulandian,CN,39.3953,121.9669,11/13/21,            12.07,46,0,2.17
3836669,San Rafael,AR,-34.6177,-68.3301,11/13/21,            16.45,40,0,2.3
487498,Sterlibashevo,RU,53.4376,55.2578,11/13/21,            -3.31,93,90,6.05
3433899,Formosa,AR,-26.1775,-58.1781,11/13/21,            25.99,61,0,5.66
2688250,Norrtälje,SE,59.758,18.705,11/13/21,            5.57,93,9,1.79
2297810,Mumford,GH,5.2618,-0.759,11/13/21,            26.1,83,11,1.99
515805,Oktyabr'skoye,RU,43.0645,44.7417,11/13/21,            4.08,93,6,1
727447,Sandanski,BG,41.5667,23.2833,11/13/21,            8.24,72,100,0.43
774747,Busko-Zdrój,PL,50.4708,20.7188,11/13/21,            4.01,88,98,1.37
3444199,Puerto Suárez,BO,-18.95,-57.8,11/13/21,            24.71,79,100,1.23
934479,Grand Gaube,MU,-20.0064,57.6608,11/13/21,            25.21,73,99,3.13
2036290,Kouqian,CN,43.6391,126.4578,11/13/21,            2.41,71,95,3
5895424,Bay Roberts,CA,47.5999,-53.2648,11/13/21,            11.85,91,100,4.92
2136825,Isangel,VU,-19.55,169.2667,11/13/21,            28.26,70,58,1.84
3652758,Puerto Baquerizo Moreno,EC,-0.9,-89.6,11/13/21,            19.54,84,76,4.34
3176748,Forio,IT,40.7342,13.8646,11/13/21,            14.14,67,100,2.83
3924610,Achacachi,BO,-16.05,-68.6833,11/13/21,            7.23,80,47,2.6
1855540,Naze,JP,28.3667,129.4833,11/13/21,            18.51,74,100,6.38
2373526,Catió,GW,11.2833,-15.25,11/13/21,            26.37,79,100,2.63
286621,Salalah,OM,17.0151,54.0924,11/13/21,            22.05,49,0,2.06
1174451,Keti Bandar,PK,24.1447,67.4497,11/13/21,            25.1,59,2,3.96
2152659,Port Macquarie,AU,-31.4333,152.9167,11/13/21,            25.5,27,2,4.44
2171085,Coffs Harbour,AU,-30.3,153.1333,11/13/21,            26.15,48,1,6.69
2318374,Gboko,NG,7.3179,8.9951,11/13/21,            24.91,77,64,2.49
2126199,Cherskiy,RU,68.75,161.3,11/13/21,            -7.52,96,100,0.92
5959335,Gander,CA,48.9682,-54.5906,11/13/21,            11.07,93,90,8.49
1280037,Shache,CN,38.4167,77.2406,11/13/21,            3.13,35,100,0.71
3386467,Terra Santa,BR,-2.1042,-56.4869,11/13/21,            25.62,72,51,0.28
2332453,Lagos,NG,6.5833,3.75,11/13/21,            24.18,93,39,0.52
